,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
0,walk,walk,walk,walk,walk,walk,walk
1,-4.9836793,-54.67278,46.352222,0.0,0.0,0.0,0.0
2,-4.9836793,-54.67278,46.352222,-0.16354981,0.026550293,-0.12213135,0.0
3,-3.8953786,-43.88881,37.198235,-0.16354981,0.026550293,-0.12213135,0.0
4,-3.8953786,-43.88881,37.198235,-0.16354981,0.004248047,-0.124255374,0.0
5,-3.0556216,-35.41768,29.834211,-0.16354981,0.004248047,-0.124255374,0.0
6,-3.0556216,-35.41768,29.834211,-0.10195313,-0.012744141,-0.121069334,0.0
7,-2.450674,-28.444153,23.846958,-0.10195313,-0.012744141,-0.121069334,0.0
8,-2.450674,-28.444153,23.846958,-0.11257324,0.0021240234,-0.12319336,0.0
9,-2.01364,-22.657288,19.061256,-0.11257324,0.0021240234,-0.12319336,0.0
10,-2.01364,-22.657288,19.061256,-0.1274414,-0.027612304,-0.09770508,0.0
11,-1.6486807,-18.002598,15.297966,-0.1274414,-0.027612304,-0.09770508,0.0
12,-1.6486807,-18.002598,15.297966,-0.10513916,-0.02442627,-0.10407715,0.0
13,-1.3265252,-14.369926,12.288361,-0.10513916,-0.02442627,-0.10407715,0.0
14,-1.3265252,-14.369926,12.288361,-0.07752686,-0.050976563,-0.08496094,0.0
15,-1.0329976,-11.525909,9.850536,-0.07752686,-0.050976563,-0.08496094,0.0
16,-1.0329976,-11.525909,9.850536,-0.059472658,-0.050976563,-0.11044922,0.0
17,-0.80205727,-9.228394,7.8890457,-0.059472658,-0.050976563,-0.11044922,0.0
18,-0.80205727,-9.228394,7.8890457,-0.035046387,-0.053100586,-0.10407715,0.0
19,-0.64118195,-7.34132,6.327629,-0.035046387,-0.053100586,-0.10407715,0.0
20,-0.64118195,-7.34132,6.327629,-0.023364259,-0.047790527,-0.06796875,0.0
21,-0.48079205,-5.810837,5.094536,-0.023364259,-0.047790527,-0.06796875,0.0
22,-0.48079205,-5.810837,5.094536,0.014868164,-0.060534667,-0.04248047,0.0
23,-0.3281641,-4.608898,4.081196,0.014868164,-0.060534667,-0.04248047,0.0
24,-0.3281641,-4.608898,4.081196,0.03186035,-0.0361084,-0.04885254,0.0
25,-0.23673773,-3.656372,3.228241,0.03186035,-0.0361084,-0.04885254,0.0
26,-0.23673773,-3.656372,3.228241,0.0180542,-0.04248047,-0.03717041,0.0
27,-0.18189526,-2.9046402,2.5572777,0.0180542,-0.04248047,-0.03717041,0.0
28,-0.18189526,-2.9046402,2.5572777,0.0021240234,-0.053100586,-0.028674318,0.0
29,-0.1210413,-2.3299026,2.0556335,0.0021240234,-0.053100586,-0.028674318,0.0
30,-0.1210413,-2.3299026,2.0556335,0.038232423,-0.06159668,-0.027612304,0.0
31,-0.07475042,-1.8773117,1.6783066,0.038232423,-0.06159668,-0.027612304,0.0
32,-0.07475042,-1.8773117,1.6783066,0.09239502,-0.06690674,-0.032922365,0.0
33,-0.048740864,-1.4882278,1.3653641,0.09239502,-0.06690674,-0.032922365,0.0
34,-0.048740864,-1.4882278,1.3653641,0.10513916,-0.07965088,-0.010620117,0.0
35,-0.019058704,-1.1522675,1.0759964,0.10513916,-0.07965088,-0.010620117,0.0
36,-0.019058704,-1.1522675,1.0759964,0.081774905,-0.046728518,-0.009558106,0.0
37,-0.013171673,-0.8741455,0.82051086,0.081774905,-0.046728518,-0.009558106,0.0
38,-0.013171673,-0.8741455,0.82051086,0.039294433,-0.039294433,0.0010620117,0.0
39,-0.009572983,-0.675148,0.6270256,0.039294433,-0.039294433,0.0010620117,0.0
40,-0.009572983,-0.675148,0.6270256,0.014868164,-0.032922365,0.010620117,0.0
41,-0.011906147,-0.5463791,0.495018,0.014868164,-0.032922365,0.010620117,0.0
42,-0.011906147,-0.5463791,0.495018,0.026550293,-0.02442627,0.0031860352,0.0
43,-0.006131172,-0.46424103,0.4163742,0.026550293,-0.02442627,0.0031860352,0.0
44,-0.006131172,-0.46424103,0.4163742,0.0361084,-0.02442627,0.0010620117,0.0
45,0.011098385,-0.38609314,0.36522675,0.0361084,-0.02442627,0.0010620117,0.0
46,0.011098385,-0.38609314,0.36522675,0.043542482,-0.032922365,-0.016992187,0.0
47,0.024540424,-0.28743744,0.2780838,0.043542482,-0.032922365,-0.016992187,0.0
48,0.024540424,-0.28743744,0.2780838,0.026550293,-0.025488282,-0.022302246,0.0
49,0.020694256,-0.18276215,0.17677307,0.026550293,-0.025488282,-0.022302246,0.0
50,0.020694256,-0.18276215,0.17677307,-0.004248047,-0.004248047,-0.016992187,0.0
51,0.020388603,-0.13471985,0.1299324,-0.004248047,-0.004248047,-0.016992187,0.0
52,0.020388603,-0.13471985,0.1299324,-0.0053100586,-0.008496094,-0.0053100586,0.0
53,0.023964882,-0.11590576,0.12721252,-0.0053100586,-0.008496094,-0.0053100586,0.0
54,0.023964882,-0.11590576,0.12721252,0.0180542,-0.008496094,-0.0053100586,0.0
55,0.017072678,-0.08003235,0.13342285,0.0180542,-0.008496094,-0.0053100586,0.0
56,0.017072678,-0.08003235,0.13342285,0.058410645,-0.012744141,-0.010620117,0.0
57,0.01243782,-0.038650513,0.12745667,0.058410645,-0.012744141,-0.010620117,0.0
58,0.01243782,-0.038650513,0.12745667,0.081774905,-0.021240234,-0.023364259,0.0
59,0.018764019,0.009994507,0.07614899,0.081774905,-0.021240234,-0.023364259,0.0
60,0.018764019,0.009994507,0.07614899,0.04460449,-0.008496094,-0.016992187,0.0
61,0.022677422,0.011856079,0.01525116,0.04460449,-0.008496094,-0.016992187,0.0
62,0.022677422,0.011856079,0.01525116,0.011682129,-0.0021240234,-0.013806152,0.0
63,0.029628754,-0.028793335,0.012493134,0.011682129,-0.0021240234,-0.013806152,0.0
64,0.029628754,-0.028793335,0.012493134,0.013806152,-0.007434082,-0.004248047,0.0
65,0.005697727,-0.020080566,0.044895172,0.013806152,-0.007434082,-0.004248047,0.0
66,0.005697727,-0.020080566,0.044895172,0.008496094,-0.016992187,-0.0053100586,0.0
67,-0.021015644,0.015510559,0.09012604,0.008496094,-0.016992187,-0.0053100586,0.0
68,-0.021015644,0.015510559,0.09012604,0.026550293,-0.010620117,-0.012744141,0.0
69,-0.031936646,0.014205933,0.09170532,0.026550293,-0.010620117,-0.012744141,0.0
70,-0.031936646,0.014205933,0.09170532,0.027612304,-0.0031860352,-0.033984374,0.0
71,-0.046435356,-0.002281189,0.05432129,0.027612304,-0.0031860352,-0.033984374,0.0
72,-0.046435356,-0.002281189,0.05432129,0.022302246,0.009558106,-0.011682129,0.0
73,-0.06404066,-0.007904053,0.016746521,0.022302246,0.009558106,-0.011682129,0.0
74,-0.06404066,-0.007904053,0.016746521,-0.0053100586,-0.0021240234,0.0021240234,0.0
75,-0.06404066,-0.007904053,0.016746521,0.007434082,-0.0010620117,-0.0053100586,0.0
76,-0.07805157,0.010314941,0.03264618,0.007434082,-0.0010620117,-0.0053100586,0.0
77,-0.06244135,0.021827698,0.07251358,0.007434082,-0.0010620117,-0.0053100586,0.0
78,-0.06244135,0.021827698,0.07251358,0.03717041,0.004248047,-0.010620117,0.0
79,-0.0052628517,-0.013870239,0.09398651,0.03717041,0.004248047,-0.010620117,0.0
80,-0.0052628517,-0.013870239,0.09398651,0.11257324,-0.029736329,-0.08496094,0.0
81,-0.010484695,-0.028038025,0.06476593,0.11257324,-0.029736329,-0.08496094,0.0
82,-0.010484695,-0.028038025,0.06476593,0.13168946,0.009558106,-0.0031860352,0.0
83,-0.046583652,0.056755066,0.018562317,0.13168946,0.009558106,-0.0031860352,0.0
84,-0.046583652,0.056755066,0.018562317,0.093457036,0.008496094,-0.0010620117,0.0
85,-0.03830433,0.16260529,0.0040740967,0.093457036,0.008496094,-0.0010620117,0.0
86,-0.03830433,0.16260529,0.0040740967,0.083898924,0.013806152,-0.029736329,0.0
87,-0.008182526,0.21849823,-0.004638672,0.083898924,0.013806152,-0.029736329,0.0
88,-0.008182526,0.21849823,-0.004638672,0.025488282,0.032922365,-0.015930176,0.0
89,0.022726536,0.16651154,-0.020889282,0.025488282,0.032922365,-0.015930176,0.0
90,0.022726536,0.16651154,-0.020889282,-0.050976563,0.06159668,-0.03079834,0.0
91,0.006108284,0.0069503784,-0.026950836,-0.050976563,0.06159668,-0.03079834,0.0
92,0.006108284,0.0069503784,-0.026950836,-0.05628662,0.07646485,-0.023364259,0.0
93,0.006108284,0.0069503784,-0.026950836,-0.0637207,0.0637207,-0.012744141,0.0
94,-0.028279781,-0.09459686,-0.0430336,-0.0637207,0.0637207,-0.012744141,0.0
95,-0.06703329,-0.07243347,-0.06355286,-0.0637207,0.0637207,-0.012744141,0.0
96,-0.06703329,-0.07243347,-0.06355286,-0.06584473,0.05628662,0.0031860352,0.0
97,-0.08115339,-0.016098022,-0.06845856,-0.06584473,0.05628662,0.0031860352,0.0
98,-0.08115339,-0.016098022,-0.06845856,-0.09451904,0.052038576,-0.0031860352,0.0
99,-0.0567441,-0.02519989,-0.037750244,-0.09451904,0.052038576,-0.0031860352,0.0
100,-0.0567441,-0.02519989,-0.037750244,-0.08071289,0.04141846,-0.009558106,0.0
101,-0.0567441,-0.02519989,-0.037750244,-0.033984374,0.04460449,-0.009558106,0.0
102,-0.02580309,-0.08319855,0.014076233,-0.033984374,0.04460449,-0.009558106,0.0
103,-0.019287586,-0.09337616,0.0369339,-0.033984374,0.04460449,-0.009558106,0.0
104,-0.019287586,-0.09337616,0.0369339,-0.009558106,0.0361084,-0.008496094,0.0
105,-0.029004097,-0.04021454,0.0284729,-0.009558106,0.0361084,-0.008496094,0.0
106,-0.029004097,-0.04021454,0.0284729,-0.0053100586,0.035046387,-0.013806152,0.0
107,-0.040183067,0.017623901,0.01411438,-0.0053100586,0.035046387,-0.013806152,0.0
108,-0.040183067,0.017623901,0.01411438,-0.0010620117,0.032922365,-0.021240234,0.0
109,-0.040183067,0.017623901,0.01411438,-0.0010620117,0.032922365,-0.021240234,65.0
110,-0.039666176,0.041740417,0.01833725,-0.0010620117,0.032922365,-0.021240234,65.0
111,-0.039666176,0.041740417,0.01833725,0.0010620117,0.019116212,-0.015930176,65.0
112,-0.036908627,0.047096252,0.017707825,0.0010620117,0.019116212,-0.015930176,65.0
