,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
0,walk,walk,walk,walk,walk,walk,walk
1,-1.3824341,-62.340065,37.75244,0.0,0.0,0.0,0.0
2,-1.3824341,-62.340065,37.75244,0.14018555,0.007434082,-0.12531738,0.0
3,-1.1348047,-49.742584,30.31482,0.14018555,0.007434082,-0.12531738,0.0
4,-1.1348047,-49.742584,30.31482,0.14549561,-0.033984374,-0.16992188,0.0
5,-0.86814654,-39.539955,24.1334,0.14549561,-0.033984374,-0.16992188,0.0
6,-0.86814654,-39.539955,24.1334,0.07434082,-0.020178223,-0.16036378,0.0
7,-0.64354074,-31.418694,19.180634,0.07434082,-0.020178223,-0.16036378,0.0
8,-0.64354074,-31.418694,19.180634,-0.015930176,0.015930176,-0.1178833,0.0
9,-0.5104747,-25.102974,15.337818,-0.015930176,0.015930176,-0.1178833,0.0
10,-0.5104747,-25.102974,15.337818,-0.081774905,0.012744141,-0.078588866,0.0
11,-0.39240074,-20.249992,12.306435,-0.081774905,0.012744141,-0.078588866,0.0
12,-0.39240074,-20.249992,12.306435,0.009558106,-0.053100586,-0.12850343,0.0
13,-0.24186254,-16.326435,9.906818,0.009558106,-0.053100586,-0.12850343,0.0
14,-0.24186254,-16.326435,9.906818,0.07752686,0.0063720704,-0.11044922,0.0
15,-0.15697873,-13.039284,8.001724,0.07752686,0.0063720704,-0.11044922,0.0
16,-0.15697873,-13.039284,8.001724,0.047790527,-0.009558106,-0.13487549,0.0
17,-0.14637148,-10.361763,6.429043,0.047790527,-0.009558106,-0.13487549,0.0
18,-0.14637148,-10.361763,6.429043,0.03717041,-0.06478272,-0.1539917,0.0
19,-0.097724676,-8.224495,5.10128,0.03717041,-0.06478272,-0.1539917,0.0
20,-0.097724676,-8.224495,5.10128,0.0063720704,-0.057348635,-0.15930176,0.0
21,-0.030865312,-6.5882034,4.054081,0.0063720704,-0.057348635,-0.15930176,0.0
22,-0.030865312,-6.5882034,4.054081,0.06584473,-0.04991455,-0.16992188,0.0
23,-0.007870913,-5.3230057,3.2927513,0.06584473,-0.04991455,-0.16992188,0.0
24,-0.007870913,-5.3230057,3.2927513,0.1359375,-0.0361084,-0.16567384,0.0
25,-0.007870913,-5.3230057,3.2927513,0.13912354,-0.0722168,-0.19434814,0.0
26,-0.014890432,-4.2136383,2.7065163,0.13912354,-0.0722168,-0.19434814,0.0
27,0.013576031,-3.2404099,2.1618347,0.13912354,-0.0722168,-0.19434814,0.0
28,0.013576031,-3.2404099,2.1618347,0.07115479,-0.06903076,-0.18797608,0.0
29,0.07926905,-2.5168533,1.6661148,0.07115479,-0.06903076,-0.18797608,0.0
30,0.07926905,-2.5168533,1.6661148,0.02442627,-0.059472658,-0.18585205,0.0
31,0.123070955,-2.0507736,1.303154,0.02442627,-0.059472658,-0.18585205,0.0
