,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
0,walk,walk,walk,walk,walk,walk,walk
1,0,0,0,-0.004248047,0.020178223,0.09239502,0
2,-5.7793946,16.756908,124.71542,-0.004248047,0.020178223,0.09239502,0
3,-4.6423144,13.32357,99.541046,-0.004248047,0.020178223,0.09239502,0
4,-4.6423144,13.32357,99.541046,0.07327881,-0.087084964,-0.087084964,0
5,-3.6644254,10.437921,79.66751,0.07327881,-0.087084964,-0.087084964,0
6,-3.6644254,10.437921,79.66751,0.11363526,-0.0998291,-0.10195313,0
7,-2.821189,8.298639,63.91382,0.11363526,-0.0998291,-0.10195313,0
8,-2.821189,8.298639,63.91382,0.13699952,-0.0998291,-0.10301514,0
9,-2.821189,8.298639,63.91382,0.17841797,-0.1359375,-0.13168946,0
10,-2.2029839,6.70096,51.232513,0.17841797,-0.1359375,-0.13168946,0
11,-1.7723236,5.3876114,40.98623,0.17841797,-0.1359375,-0.13168946,0
12,-1.7723236,5.3876114,40.98623,0.16885987,-0.14230958,-0.15505372,0
13,-1.3825192,4.42857,32.686966,0.16885987,-0.14230958,-0.15505372,0
14,-1.3825192,4.42857,32.686966,0.12531738,-0.11151123,-0.1529297,0
15,-1.1016817,3.5255833,26.144745,0.12531738,-0.11151123,-0.1529297,0
16,-1.1016817,3.5255833,26.144745,0.1274414,-0.12000733,-0.14018555,0
17,-1.1016817,3.5255833,26.144745,0.18691407,-0.15823975,-0.15080567,0
18,-0.9262428,2.7702103,20.92897,0.18691407,-0.15823975,-0.15080567,0
19,-0.78700256,2.1969051,16.769806,0.18691407,-0.15823975,-0.15080567,0
20,-0.78700256,2.1969051,16.769806,0.18266602,-0.16779785,-0.14549561,0
21,-0.78700256,2.1969051,16.769806,0.18266602,-0.16779785,-0.14549561,84
22,-0.77132607,1.8737106,13.417496,0.18266602,-0.16779785,-0.14549561,84
23,-0.77132607,1.8737106,13.417496,0.13275146,-0.16461182,-0.13487549,84
24,-0.70596504,1.5138245,10.740128,0.13275146,-0.16461182,-0.13487549,84
25,-0.70596504,1.5138245,10.740128,0.11682129,-0.14018555,-0.1359375,84
26,-0.70766735,1.1471806,8.585846,0.11682129,-0.14018555,-0.1359375,84
27,-0.70766735,1.1471806,8.585846,0.16461182,-0.13381349,-0.15505372,84
28,-0.578341,0.8297081,6.846512,0.16461182,-0.13381349,-0.15505372,84
29,-0.578341,0.8297081,6.846512,0.17523193,-0.13806152,-0.14974366,84
