,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
0,walk,walk,walk,walk,walk,walk,walk
1,-7.64065,-54.067528,31.29872,0.0,0.0,0.0,0.0
2,-7.64065,-54.067528,31.29872,-0.0180542,0.023364259,-0.04248047,0.0
3,-6.108101,-43.243027,25.00786,-0.0180542,0.023364259,-0.04248047,0.0
4,-6.108101,-43.243027,25.00786,-0.007434082,0.020178223,-0.0361084,0.0
5,-4.9023986,-34.567055,19.986599,-0.007434082,0.020178223,-0.0361084,0.0
6,-4.9023986,-34.567055,19.986599,-0.023364259,0.013806152,-0.0361084,0.0
7,-3.936738,-27.658539,15.988657,-0.023364259,0.013806152,-0.0361084,0.0
8,-3.936738,-27.658539,15.988657,-0.027612304,0.0031860352,-0.02442627,0.0
9,-3.1455693,-22.17279,12.802412,-0.027612304,0.0031860352,-0.02442627,0.0
10,-3.1455693,-22.17279,12.802412,-0.013806152,-0.0053100586,-0.013806152,0.0
11,-2.4973025,-17.759838,10.256969,-0.013806152,-0.0053100586,-0.013806152,0.0
12,-2.4973025,-17.759838,10.256969,-0.027612304,-0.0053100586,-0.012744141,0.0
13,-2.0133939,-14.1766815,8.220041,-0.027612304,-0.0053100586,-0.012744141,0.0
14,-2.0133939,-14.1766815,8.220041,-0.040356446,-0.007434082,0.0031860352,0.0
15,-1.6544042,-11.296471,6.605549,-0.040356446,-0.007434082,0.0031860352,0.0
16,-1.6544042,-11.296471,6.605549,-0.050976563,-0.011682129,0.014868164,0.0
17,-1.3360968,-9.039669,5.340996,-0.050976563,-0.011682129,0.014868164,0.0
18,-1.3360968,-9.039669,5.340996,-0.03186035,-0.010620117,0.027612304,0.0
19,-1.0519829,-7.2567215,4.330181,-0.03186035,-0.010620117,0.027612304,0.0
20,-1.0519829,-7.2567215,4.330181,-0.016992187,-0.007434082,0.035046387,0.0
21,-1.0519829,-7.2567215,4.330181,-0.016992187,-0.007434082,0.035046387,87.0
22,-0.8275852,-5.778694,3.4942093,-0.016992187,-0.007434082,0.035046387,87.0
23,-0.8275852,-5.778694,3.4942093,-0.032922365,0.0063720704,0.03186035,87.0
24,-0.6729202,-4.5904007,2.797966,-0.032922365,0.0063720704,0.03186035,87.0
25,-0.6729202,-4.5904007,2.797966,-0.039294433,0.015930176,0.046728518,87.0
26,-0.5416441,-3.679718,2.2336502,-0.039294433,0.015930176,0.046728518,87.0
27,-0.5416441,-3.679718,2.2336502,-0.02442627,0.014868164,0.052038576,87.0
28,-0.4087305,-2.9362564,1.7821465,-0.02442627,0.014868164,0.052038576,87.0
29,-0.4087305,-2.9362564,1.7821465,-0.026550293,0.02442627,0.047790527,87.0
30,-0.3090639,-2.3348846,1.436348,-0.026550293,0.02442627,0.047790527,87.0
31,-0.3090639,-2.3348846,1.436348,-0.0180542,0.028674318,0.060534667,87.0
32,-0.24146461,-1.860405,1.1526909,-0.0180542,0.028674318,0.060534667,87.0
33,-0.24146461,-1.860405,1.1526909,0.011682129,0.025488282,0.060534667,87.0
34,-0.15702629,-1.4465485,0.8951874,0.011682129,0.025488282,0.060534667,87.0
35,-0.15702629,-1.4465485,0.8951874,-0.0053100586,0.025488282,0.052038576,87.0
36,-0.07131195,-1.1050797,0.6453972,-0.0053100586,0.025488282,0.052038576,87.0
37,-0.07131195,-1.1050797,0.6453972,-0.053100586,0.039294433,0.025488282,87.0
38,-0.021222115,-0.89668274,0.43390656,-0.053100586,0.039294433,0.025488282,87.0
39,-0.021222115,-0.89668274,0.43390656,-0.04460449,0.040356446,0.027612304,87.0
40,-0.050266266,-0.7701187,0.31109238,-0.04460449,0.040356446,0.027612304,87.0
41,-0.050266266,-0.7701187,0.31109238,-0.03079834,0.039294433,0.035046387,87.0
42,-0.13017845,-0.6542053,0.26390076,-0.03079834,0.039294433,0.035046387,87.0
43,-0.13017845,-0.6542053,0.26390076,0.0021240234,0.016992187,0.047790527,87.0
44,-0.15546131,-0.524498,0.23070145,0.0021240234,0.016992187,0.047790527,87.0
45,-0.15546131,-0.524498,0.23070145,0.0010620117,0.004248047,0.03186035,87.0
46,-0.08702755,-0.41897583,0.19221497,0.0010620117,0.004248047,0.03186035,87.0
47,-0.08702755,-0.41897583,0.19221497,-0.014868164,0.0053100586,0.019116212,87.0
48,-0.024565697,-0.37754822,0.14168549,-0.014868164,0.0053100586,0.019116212,87.0
49,-0.024565697,-0.37754822,0.14168549,-0.033984374,0.007434082,0.019116212,87.0
50,-0.0012559891,-0.3742447,0.093437195,-0.033984374,0.007434082,0.019116212,87.0
51,-0.0012559891,-0.3742447,0.093437195,-0.03079834,0.0031860352,0.012744141,87.0
52,0.0060510635,-0.3461151,0.08571243,-0.03079834,0.0031860352,0.012744141,87.0
53,0.0060510635,-0.3461151,0.08571243,-0.026550293,-0.0010620117,0.0053100586,87.0
