,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
0,walk,walk,walk,walk,walk,walk,walk
1,-10.028833,-62.548695,35.143005,0.0,0.0,0.0,0.0
2,-10.028833,-62.548695,35.143005,-0.07434082,0.1901001,0.028674318,0.0
3,-8.181526,-49.92376,27.884731,-0.07434082,0.1901001,0.028674318,0.0
4,-8.181526,-49.92376,27.884731,-0.039294433,0.1985962,-0.015930176,0.0
5,-6.6696596,-39.87381,22.410885,-0.039294433,0.1985962,-0.015930176,0.0
6,-6.6696596,-39.87381,22.410885,0.029736329,0.18797608,-0.095581055,0.0
7,-5.367259,-31.954384,18.119408,0.029736329,0.18797608,-0.095581055,0.0
8,-5.367259,-31.954384,18.119408,0.07115479,0.16885987,-0.13912354,0.0
9,-4.304244,-25.578533,14.578791,0.07115479,0.16885987,-0.13912354,0.0
10,-4.304244,-25.578533,14.578791,-0.010620117,0.09770508,-0.16248779,0.0
11,-3.3963737,-20.49105,11.602657,-0.010620117,0.09770508,-0.16248779,0.0
12,-3.3963737,-20.49105,11.602657,-0.043542482,0.016992187,-0.17947999,0.0
13,-2.618247,-16.447723,9.12114,-0.043542482,0.016992187,-0.17947999,0.0
14,-2.618247,-16.447723,9.12114,0.070092775,0.07115479,-0.087084964,0.0
15,-2.0512266,-13.190872,7.181446,0.070092775,0.07115479,-0.087084964,0.0
16,-2.0512266,-13.190872,7.181446,0.1083252,0.08071289,-0.06690674,0.0
17,-1.6615009,-10.573975,5.7632103,0.1083252,0.08071289,-0.06690674,0.0
18,-1.6615009,-10.573975,5.7632103,0.10513916,0.06584473,-0.05628662,0.0
19,-1.3520031,-8.474075,4.6846657,0.10513916,0.06584473,-0.05628662,0.0
20,-1.3520031,-8.474075,4.6846657,0.033984374,0.04141846,-0.093457036,0.0
21,-1.0800028,-6.8027115,3.801567,0.033984374,0.04141846,-0.093457036,0.0
22,-1.0800028,-6.8027115,3.801567,-0.0180542,0.0010620117,-0.090270996,0.0
23,-0.84857273,-5.455368,3.0205002,-0.0180542,0.0010620117,-0.090270996,0.0
24,-0.84857273,-5.455368,3.0205002,0.045666505,0.05522461,-0.03717041,0.0
25,-0.84857273,-5.455368,3.0205002,0.14337158,0.09664307,-0.0021240234,0.0
26,-0.6990967,-4.3401337,2.399887,0.14337158,0.09664307,-0.0021240234,0.0
27,-0.58587646,-3.451088,2.0142937,0.14337158,0.09664307,-0.0021240234,0.0
28,-0.58587646,-3.451088,2.0142937,0.16461182,0.0637207,-0.08814698,0.0
29,-0.4646721,-2.7123566,1.7457123,0.16461182,0.0637207,-0.08814698,0.0
30,-0.4646721,-2.7123566,1.7457123,0.15505372,0.0180542,-0.15186767,0.0
31,-0.34234333,-2.1054535,1.4441032,0.15505372,0.0180542,-0.15186767,0.0
32,-0.34234333,-2.1054535,1.4441032,0.12319336,0.013806152,-0.2177124,0.0
33,-0.21947956,-1.7122955,1.1133041,0.12319336,0.013806152,-0.2177124,0.0
34,-0.21947956,-1.7122955,1.1133041,0.1178833,0.0361084,-0.20390625,0.0
35,-0.10381794,-1.4166718,0.791008,0.1178833,0.0361084,-0.20390625,0.0
36,-0.10381794,-1.4166718,0.791008,0.11044922,0.10938721,-0.17947999,0.0
37,-0.050437927,-1.1860123,0.53673553,0.11044922,0.10938721,-0.17947999,0.0
38,-0.050437927,-1.1860123,0.53673553,0.13168946,0.11682129,-0.21346436,0.0
39,-0.050437927,-1.1860123,0.53673553,0.13168946,0.11682129,-0.21346436,89.0
40,-0.026690483,-1.1531296,0.32331085,0.13168946,0.11682129,-0.21346436,89.0
41,-0.026690483,-1.1531296,0.32331085,0.31966552,0.22833252,-0.36639404,89.0
42,-0.045009613,-1.1671524,0.269516,0.31966552,0.22833252,-0.36639404,89.0
43,-0.045009613,-1.1671524,0.269516,0.66269535,0.2984253,-0.58198243,89.0
44,-0.23783875,-0.8736496,0.37947845,0.66269535,0.2984253,-0.58198243,89.0
45,-0.23783875,-0.8736496,0.37947845,0.8878418,-0.10620117,-0.3993164,89.0
46,-0.29864502,-0.3504486,0.4962082,0.8878418,-0.10620117,-0.3993164,89.0
47,-0.29864502,-0.3504486,0.4962082,0.7062378,-0.24638672,-0.25913087,89.0
48,0.10306454,0.15196228,0.6567688,0.7062378,-0.24638672,-0.25913087,89.0
49,0.10306454,0.15196228,0.6567688,0.14549561,-0.1263794,-0.5055176,89.0
50,0.34570885,0.21052551,0.87132263,0.14549561,-0.1263794,-0.5055176,89.0
51,0.34570885,0.21052551,0.87132263,-0.13168946,-0.1274414,-0.30161133,89.0
52,0.20833015,-0.42485046,0.74668884,-0.13168946,-0.1274414,-0.30161133,89.0
53,0.20833015,-0.42485046,0.74668884,0.019116212,-0.31010744,-0.32922363,89.0
54,0.17081451,-0.6614227,0.16775894,0.019116212,-0.31010744,-0.32922363,89.0
55,0.17081451,-0.6614227,0.16775894,0.11257324,-0.08496094,-0.32497558,89.0
56,0.11719322,-0.114730835,-0.21191406,0.11257324,-0.08496094,-0.32497558,89.0
57,0.11719322,-0.114730835,-0.21191406,-0.0637207,-0.0637207,-0.29099122,89.0
58,-0.095332146,0.30953217,-0.18605804,-0.0637207,-0.0637207,-0.29099122,89.0
59,-0.095332146,0.30953217,-0.18605804,-0.16567384,-0.2984253,-0.3451538,89.0
60,-0.095332146,0.30953217,-0.18605804,-0.2357666,-0.37489015,-0.36108398,89.0
61,-0.12881756,0.43683624,-0.23218536,-0.2357666,-0.37489015,-0.36108398,89.0
62,-0.002699852,0.49856567,-0.5677414,-0.2357666,-0.37489015,-0.36108398,89.0
63,-0.002699852,0.49856567,-0.5677414,-0.3058594,-0.38975832,-0.4163086,89.0
64,-0.030101776,0.56095886,-0.976593,-0.3058594,-0.38975832,-0.4163086,89.0
65,-0.030101776,0.56095886,-0.976593,-0.38869628,-0.50445557,-0.5235718,89.0
66,-0.15646648,0.7578888,-1.3091431,-0.38869628,-0.50445557,-0.5235718,89.0
67,-0.15646648,0.7578888,-1.3091431,-0.56817627,-0.6775635,-0.6435791,89.0
68,-0.16224575,1.0815201,-1.5330925,-0.56817627,-0.6775635,-0.6435791,89.0
69,-0.16224575,1.0815201,-1.5330925,-0.88359374,-0.86766356,-0.7848267,89.0
70,-0.16224575,1.0815201,-1.5330925,-1.2945923,-1.1087402,-0.9685547,89.0
71,0.03230095,1.2641296,-1.5318832,-1.2945923,-1.1087402,-0.9685547,89.0
72,0.40736008,0.70612335,-0.9927902,-1.2945923,-1.1087402,-0.9685547,89.0
73,0.40736008,0.70612335,-0.9927902,-1.2722901,-1.44646,-1.1278565,89.0
74,1.0214081,-0.864151,0.02191925,-1.2722901,-1.44646,-1.1278565,89.0
75,1.0214081,-0.864151,0.02191925,-0.8889038,-1.7321411,-1.3137085,89.0
76,1.8469849,-2.1465302,0.6188164,-0.8889038,-1.7321411,-1.3137085,89.0
77,1.8469849,-2.1465302,0.6188164,-0.4715332,-1.6684204,-1.630188,89.0
78,1.8469849,-2.1465302,0.6188164,-0.4067505,-1.4623902,-1.7353271,89.0
79,2.371729,-1.7436752,0.27510834,-0.4067505,-1.4623902,-1.7353271,89.0
80,2.2407913,-0.28321075,-0.41964722,-0.4067505,-1.4623902,-1.7353271,89.0
81,2.2407913,-0.28321075,-0.41964722,-0.74022216,-1.4910644,-1.6609863,89.0
82,1.8142881,0.8028641,-0.70680237,-0.74022216,-1.4910644,-1.6609863,89.0
83,1.8142881,0.8028641,-0.70680237,-1.3742431,-1.6450561,-1.6503662,89.0
84,1.6735134,0.65345764,-0.21989822,-1.3742431,-1.6450561,-1.6503662,89.0
85,1.6735134,0.65345764,-0.21989822,-1.8022339,-1.9413575,-1.6524903,89.0
86,2.0318527,-0.5971298,0.39151,-1.8022339,-1.9413575,-1.6524903,89.0
87,2.0318527,-0.5971298,0.39151,-1.725769,-2.071985,-1.721521,89.0
88,2.0318527,-0.5971298,0.39151,-1.2850342,-1.7512573,-1.8850708,89.0
89,2.5291681,-1.5047073,0.357872,-1.2850342,-1.7512573,-1.8850708,89.0
90,2.4944038,-1.0329437,-0.09141159,-1.2850342,-1.7512573,-1.8850708,89.0
91,2.4944038,-1.0329437,-0.09141159,-1.2807862,-1.6694825,-1.9615357,89.0
92,1.9858303,0.1986084,-0.6695137,-1.2807862,-1.6694825,-1.9615357,89.0
93,1.9858303,0.1986084,-0.6695137,-1.6588624,-1.7916138,-2.0464966,89.0
94,1.6542039,1.1848373,-1.2533226,-1.6588624,-1.7916138,-2.0464966,89.0
95,1.6542039,1.1848373,-1.2533226,-2.2907593,-1.8542725,-2.084729,89.0
96,1.7403798,1.2349701,-1.5839081,-2.2907593,-1.8542725,-2.084729,89.0
97,1.7403798,1.2349701,-1.5839081,-2.8515015,-1.9084351,-2.1335816,89.0
98,2.0709782,0.46191406,-1.6461067,-2.8515015,-1.9084351,-2.1335816,89.0
99,2.0709782,0.46191406,-1.6461067,-3.1488647,-1.9126831,-2.2047365,89.0
100,2.471846,-0.3889923,-1.6008224,-3.1488647,-1.9126831,-2.2047365,89.0
101,2.471846,-0.3889923,-1.6008224,-3.1021364,-1.8861328,-2.3215578,89.0
102,2.8082995,-0.82263947,-1.6086006,-3.1021364,-1.8861328,-2.3215578,89.0
103,2.8082995,-0.82263947,-1.6086006,-2.9608886,-1.8255981,-2.4033325,89.0
104,3.0104337,-0.7919159,-1.7281494,-2.9608886,-1.8255981,-2.4033325,89.0
105,3.0104337,-0.7919159,-1.7281494,-2.7389283,-1.7268311,-2.4787354,89.0
106,3.096262,-0.518692,-1.8329964,-2.7389283,-1.7268311,-2.4787354,89.0
107,3.096262,-0.518692,-1.8329964,-2.6624634,-1.6694825,-2.527588,89.0
108,3.1519244,-0.26515198,-1.8883705,-2.6624634,-1.6694825,-2.527588,89.0
109,3.1519244,-0.26515198,-1.8883705,-2.6507814,-1.5951416,-2.543518,89.0
110,3.2221377,-0.20656586,-1.9365387,-2.6507814,-1.5951416,-2.543518,89.0
111,3.2221377,-0.20656586,-1.9365387,-2.5222778,-1.4645141,-2.5159059,89.0
112,3.1798344,-0.37145233,-1.9740105,-2.5222778,-1.4645141,-2.5159059,89.0
113,3.1798344,-0.37145233,-1.9740105,-2.1102173,-1.2903442,-2.4585571,89.0
114,2.8932571,-0.64419556,-1.964035,-2.1102173,-1.2903442,-2.4585571,89.0
115,2.8932571,-0.64419556,-1.964035,-1.4305298,-1.1289185,-2.3396118,89.0
116,2.364801,-0.8347397,-1.8237419,-1.4305298,-1.1289185,-2.3396118,89.0
117,2.364801,-0.8347397,-1.8237419,-0.5809204,-1.0312134,-2.168628,89.0
118,1.7991163,-0.7925873,-1.4727135,-0.5809204,-1.0312134,-2.168628,89.0
119,1.7991163,-0.7925873,-1.4727135,0.25063476,-1.075818,-1.9339234,89.0
120,1.4521348,-0.46253967,-0.9668045,0.25063476,-1.075818,-1.9339234,89.0
121,1.4521348,-0.46253967,-0.9668045,0.7954468,-1.088562,-1.635498,89.0
122,1.2282484,-0.014122009,-0.45939255,0.7954468,-1.088562,-1.635498,89.0
123,1.2282484,-0.014122009,-0.45939255,1.0620117,-1.0375855,-1.3126465,89.0
124,0.8481748,0.3271637,-0.11736679,1.0620117,-1.0375855,-1.3126465,89.0
125,0.8481748,0.3271637,-0.11736679,1.0460815,-0.9388184,-0.9653687,89.0
126,0.39158916,0.5766144,-0.012813568,1.0460815,-0.9388184,-0.9653687,89.0
127,0.39158916,0.5766144,-0.012813568,0.77314454,-0.9781128,-0.66269535,89.0
128,0.43271708,0.7034378,-0.020431519,0.77314454,-0.9781128,-0.66269535,89.0
129,0.43271708,0.7034378,-0.020431519,0.5150757,-1.0970582,-0.3802002,89.0
130,0.9748235,0.54332733,0.051124573,0.5150757,-1.0970582,-0.3802002,89.0
131,0.9748235,0.54332733,0.051124573,0.45135498,-0.77739257,-0.1731079,89.0
132,0.965662,0.22641754,0.25117874,0.45135498,-0.77739257,-0.1731079,89.0
133,0.965662,0.22641754,0.25117874,0.49171144,-0.38975832,-0.03717041,89.0
134,-0.1054368,0.10006714,0.38409805,0.49171144,-0.38975832,-0.03717041,89.0
135,-0.1054368,0.10006714,0.38409805,0.44923097,-0.1709839,0.107263185,89.0
136,-1.4871082,0.18697357,0.28518295,0.44923097,-0.1709839,0.107263185,89.0
137,-1.4871082,0.18697357,0.28518295,0.42055663,-0.039294433,0.29417726,89.0
138,-1.4871082,0.18697357,0.28518295,0.42055663,-0.039294433,0.29417726,90.0
139,-2.3017592,0.26028442,0.10078812,0.42055663,-0.039294433,0.29417726,90.0
140,-2.3017592,0.26028442,0.10078812,0.5522461,0.04248047,0.48427734,90.0
141,-2.2874646,0.14971924,0.008621216,0.5522461,0.04248047,0.48427734,90.0
142,-2.2874646,0.14971924,0.008621216,0.87191164,0.1263794,0.64570314,90.0
143,-1.7191075,-0.037574768,0.013916016,0.87191164,0.1263794,0.64570314,90.0
144,-1.7191075,-0.037574768,0.013916016,1.2563599,0.33028564,0.7582764,90.0
145,-1.089141,-0.04915619,0.016750336,1.2563599,0.33028564,0.7582764,90.0
146,-1.089141,-0.04915619,0.016750336,1.4645141,0.59047854,0.817749,90.0
147,-0.6501092,0.16378784,-0.053398132,1.4645141,0.59047854,0.817749,90.0
148,-0.6501092,0.16378784,-0.053398132,1.4443359,0.7965088,0.86553955,90.0
149,-0.35222846,0.43434906,-0.19650269,1.4443359,0.7965088,0.86553955,90.0
150,-0.35222846,0.43434906,-0.19650269,1.2584839,1.0428956,0.91120607,90.0
151,-0.15700251,0.64958954,-0.37890625,1.2584839,1.0428956,0.91120607,90.0
152,-0.15700251,0.64958954,-0.37890625,0.8878418,1.2807862,0.95581055,90.0
153,-0.11918111,0.80604553,-0.6072159,0.8878418,1.2807862,0.95581055,90.0
154,-0.11918111,0.80604553,-0.6072159,0.3355957,1.4655762,1.0269654,90.0
155,-0.2189777,0.8071289,-0.8332825,0.3355957,1.4655762,1.0269654,90.0
156,-0.2189777,0.8071289,-0.8332825,-0.20603028,1.6004517,1.083252,90.0
157,-0.37962553,0.635437,-0.9784775,-0.20603028,1.6004517,1.083252,90.0
158,-0.37962553,0.635437,-0.9784775,-0.6605713,1.6652344,1.1257324,90.0
159,-0.5270647,0.44309235,-1.0451736,-0.6605713,1.6652344,1.1257324,90.0
160,-0.5270647,0.44309235,-1.0451736,-1.0439576,1.6907227,1.1522827,90.0
161,-0.6332362,0.30080414,-1.0872612,-1.0439576,1.6907227,1.1522827,90.0
162,-0.6332362,0.30080414,-1.0872612,-1.3296387,1.6546143,1.1501588,90.0
163,-0.68138146,0.19480896,-1.1282921,-1.3296387,1.6546143,1.1501588,90.0
164,-0.68138146,0.19480896,-1.1282921,-1.4878784,1.5569092,1.1161743,90.0
165,-0.6492678,0.102622986,-1.1729088,-1.4878784,1.5569092,1.1161743,90.0
166,-0.6492678,0.102622986,-1.1729088,-1.4868164,1.44646,1.0524536,90.0
167,-0.60310566,0.047317505,-1.1963234,-1.4868164,1.44646,1.0524536,90.0
168,-0.60310566,0.047317505,-1.1963234,-1.3391968,1.3370727,0.9388184,90.0
169,-0.61967933,0.073020935,-1.1626358,-1.3391968,1.3370727,0.9388184,90.0
170,-0.61967933,0.073020935,-1.1626358,-1.1119263,1.173523,0.80819094,90.0
171,-0.62754273,0.15364075,-1.057148,-1.1119263,1.173523,0.80819094,90.0
172,-0.62754273,0.15364075,-1.057148,-0.8687256,0.9420044,0.66588134,90.0
173,-0.46908748,0.24094391,-0.9256859,-0.8687256,0.9420044,0.66588134,90.0
174,-0.46908748,0.24094391,-0.9256859,-0.6159668,0.71367186,0.5161377,90.0
175,-0.23980856,0.30628967,-0.79130554,-0.6159668,0.71367186,0.5161377,90.0
176,-0.23980856,0.30628967,-0.79130554,-0.3791382,0.5936646,0.3536499,90.0
177,-0.20042837,0.3513031,-0.57935715,-0.3791382,0.5936646,0.3536499,90.0
178,-0.20042837,0.3513031,-0.57935715,-0.20178223,0.42692873,0.19328614,90.0
179,-0.31417572,0.43122864,-0.3042946,-0.20178223,0.42692873,0.19328614,90.0
180,-0.31417572,0.43122864,-0.3042946,-0.124255374,0.1901001,0.06584473,90.0
181,-0.22095728,0.4712906,-0.117435455,-0.124255374,0.1901001,0.06584473,90.0
182,-0.22095728,0.4712906,-0.117435455,-0.10513916,-0.098767094,-0.07752686,90.0
183,0.26078296,0.37908173,-0.08464432,-0.10513916,-0.098767094,-0.07752686,90.0
184,0.26078296,0.37908173,-0.08464432,-0.032922365,-0.30479738,-0.25806886,90.0
185,0.8627646,0.20539093,-0.09975815,-0.032922365,-0.30479738,-0.25806886,90.0
186,0.8627646,0.20539093,-0.09975815,0.06796875,-0.37595215,-0.4725952,90.0
187,1.1124407,0.087020874,-0.026107788,0.06796875,-0.37595215,-0.4725952,90.0
188,1.1124407,0.087020874,-0.026107788,0.13062744,-0.44179687,-0.6860596,90.0
189,1.2091787,0.04310608,0.12409592,0.13062744,-0.44179687,-0.6860596,90.0
190,1.2091787,0.04310608,0.12409592,0.07752686,-0.9451904,-1.0078491,90.0
191,1.8529508,-0.08592224,0.26221466,0.07752686,-0.9451904,-1.0078491,90.0
192,1.8529508,-0.08592224,0.26221466,0.12213135,-1.2531738,-1.3115845,90.0
193,2.5403075,-0.409935,0.53897095,0.12213135,-1.2531738,-1.3115845,90.0
194,2.5403075,-0.409935,0.53897095,0.3419678,-0.9430664,-1.632312,90.0
195,1.840266,-0.6749954,1.2417717,0.3419678,-0.9430664,-1.632312,90.0
196,1.840266,-0.6749954,1.2417717,0.68287355,-0.92076415,-1.7863038,90.0
197,0.04721284,-0.6611862,2.0689316,0.68287355,-0.92076415,-1.7863038,90.0
198,0.04721284,-0.6611862,2.0689316,0.903772,-1.2032593,-1.7055908,90.0
199,-1.1359968,-0.4332657,2.3785477,0.903772,-1.2032593,-1.7055908,90.0
200,-1.1359968,-0.4332657,2.3785477,1.0513916,-1.4177856,-1.536731,90.0
201,-1.0119346,-0.12804413,2.038372,1.0513916,-1.4177856,-1.536731,90.0
202,-1.0119346,-0.12804413,2.038372,1.1671509,-1.3614991,-1.3137085,90.0
203,-0.23004334,0.1063385,1.4063568,1.1671509,-1.3614991,-1.3137085,90.0
204,-0.23004334,0.1063385,1.4063568,1.2106934,-1.1108643,-1.0545777,90.0
205,0.38224953,0.2522583,0.76711273,1.2106934,-1.1108643,-1.0545777,90.0
206,0.38224953,0.2522583,0.76711273,1.0949341,-0.77314454,-0.817749,90.0
207,0.52093637,0.5500717,0.23906708,1.0949341,-0.77314454,-0.817749,90.0
208,0.52093637,0.5500717,0.23906708,0.5894165,-0.4078125,-0.6085327,90.0
209,0.19392198,1.0118713,-0.09431839,0.5894165,-0.4078125,-0.6085327,90.0
210,0.19392198,1.0118713,-0.09431839,-0.29948732,-0.026550293,-0.4248047,90.0
211,-0.477443,1.2265244,-0.1637001,-0.29948732,-0.026550293,-0.4248047,90.0
212,-0.477443,1.2265244,-0.1637001,-1.2043213,0.2527588,-0.21134034,90.0
213,-1.1846156,0.9827957,-0.10793686,-1.2043213,0.2527588,-0.21134034,90.0
214,-1.1846156,0.9827957,-0.10793686,-1.9530395,0.38869628,-0.010620117,90.0
215,-1.6390988,0.50299835,-0.19458771,-1.9530395,0.38869628,-0.010620117,90.0
216,-1.6390988,0.50299835,-0.19458771,-2.4065187,0.4439209,0.13062744,90.0
217,-1.7263669,0.102874756,-0.49910355,-2.4065187,0.4439209,0.13062744,90.0
218,-1.7263669,0.102874756,-0.49910355,-2.5881226,0.44816896,0.24213867,90.0
219,-1.4810935,-0.13742828,-0.88204575,-2.5881226,0.44816896,0.24213867,90.0
220,-1.4810935,-0.13742828,-0.88204575,-2.5222778,0.4078125,0.29311523,90.0
221,-1.0477533,-0.29127502,-1.1378632,-2.5222778,0.4078125,0.29311523,90.0
222,-1.0477533,-0.29127502,-1.1378632,-2.2174804,0.3706421,0.26975098,90.0
223,-0.5632026,-0.37062836,-1.1885872,-2.2174804,0.3706421,0.26975098,90.0
224,-0.5632026,-0.37062836,-1.1885872,-1.7640015,0.29205322,0.1985962,90.0
225,-0.09708309,-0.3241272,-1.1017265,-1.7640015,0.29205322,0.1985962,90.0
226,-0.09708309,-0.3241272,-1.1017265,-1.260608,0.18266602,0.1178833,90.0
227,0.3133614,-0.20568848,-0.94638443,-1.260608,0.18266602,0.1178833,90.0
228,0.3133614,-0.20568848,-0.94638443,-0.75615233,0.023364259,0.04248047,90.0
229,0.6486505,-0.10614014,-0.735939,-0.75615233,0.023364259,0.04248047,90.0
230,0.6486505,-0.10614014,-0.735939,-0.26019287,-0.15930176,-0.007434082,90.0
231,0.8253902,-0.027954102,-0.4090271,-0.26019287,-0.15930176,-0.007434082,90.0
232,0.8253902,-0.027954102,-0.4090271,0.18266602,-0.32816163,-0.021240234,90.0
233,0.7554782,0.0524292,0.028686523,0.18266602,-0.32816163,-0.021240234,90.0
234,0.7554782,0.0524292,0.028686523,0.54906005,-0.5055176,0.004248047,90.0
235,0.41494167,0.081726074,0.4643669,0.54906005,-0.5055176,0.004248047,90.0
236,0.41494167,0.081726074,0.4643669,0.9154541,-0.6956177,0.04885254,90.0
237,-0.08264625,0.0042648315,0.79257584,0.9154541,-0.6956177,0.04885254,90.0
238,-0.08264625,0.0042648315,0.79257584,1.264856,-0.83049315,0.08920898,90.0
239,-0.482157,-0.15628052,1.0267715,1.264856,-0.83049315,0.08920898,90.0
240,-0.482157,-0.15628052,1.0267715,1.5802735,-0.9281983,0.09770508,90.0
241,-0.430269,-0.32112122,1.147892,1.5802735,-0.9281983,0.09770508,90.0
242,-0.430269,-0.32112122,1.147892,1.8171021,-0.9589966,0.035046387,90.0
243,0.16296256,-0.43695068,1.0122833,1.8171021,-0.9589966,0.035046387,90.0
244,0.16296256,-0.43695068,1.0122833,1.9307374,-0.82836914,-0.07434082,90.0
245,1.1382314,-0.5,0.52241135,1.9307374,-0.82836914,-0.07434082,90.0
246,1.1382314,-0.5,0.52241135,1.8797607,-0.8028809,-0.25700685,90.0
247,1.1382314,-0.5,0.52241135,1.8797607,-0.8028809,-0.25700685,90.0
248,2.5017107,-0.4738617,-0.05504608,1.8797607,-0.8028809,-0.25700685,90.0
249,2.5017107,-0.4738617,-0.05504608,1.7395753,-0.77526855,-0.3706421,90.0
250,3.9479263,-0.39265442,-0.13924026,1.7395753,-0.77526855,-0.3706421,90.0
251,3.9479263,-0.39265442,-0.13924026,1.5972656,-0.26975098,-0.46728516,90.0
252,4.2982826,-0.2468872,0.46018982,1.5972656,-0.26975098,-0.46728516,90.0
253,4.2982826,-0.2468872,0.46018982,1.2032593,0.40250245,-0.40356445,90.0
254,2.7478423,0.061950684,1.0147705,1.2032593,0.40250245,-0.40356445,90.0
255,2.7478423,0.061950684,1.0147705,0.36639404,0.77314454,-0.22089843,90.0
256,0.27636218,0.34765625,0.79574203,0.36639404,0.77314454,-0.22089843,90.0
257,0.27636218,0.34765625,0.79574203,-0.49171144,0.81987303,0.06265869,90.0
258,-1.4642253,0.24404144,0.07818222,-0.49171144,0.81987303,0.06265869,90.0
259,-1.4642253,0.24404144,0.07818222,-0.74447024,0.76677245,0.40356445,90.0
260,-1.8298274,-0.34009552,-0.44581604,-0.74447024,0.76677245,0.40356445,90.0
261,-1.8298274,-0.34009552,-0.44581604,-0.35895997,0.71154785,0.6414551,90.0
262,-1.2589914,-1.1290817,-0.52830887,-0.35895997,0.71154785,0.6414551,90.0
263,-1.2589914,-1.1290817,-0.52830887,0.45666504,0.79332274,0.70942384,90.0
264,-0.5894929,-1.5748367,-0.35671616,0.45666504,0.79332274,0.70942384,90.0
265,-0.5894929,-1.5748367,-0.35671616,1.2329956,0.9685547,0.62764895,90.0
266,-0.45651865,-1.232193,-0.16581726,1.2329956,0.9685547,0.62764895,90.0
267,-0.45651865,-1.232193,-0.16581726,1.5027466,1.1257324,0.5671143,90.0
