,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
0,walk,walk,walk,walk,walk,walk,walk
1,0.0,0.0,0.0,-0.016992187,-0.0637207,0.0063720704,0.0
2,-0.12363282,-0.07623291,0.07558594,-0.016992187,-0.0637207,0.0063720704,0.0
3,-0.100541994,0.030725095,-0.15245849,-0.016992187,-0.0637207,0.0063720704,0.0
4,-0.100541994,0.030725095,-0.15245849,-0.019116212,-0.05522461,-0.026550293,0.0
5,0.017784178,0.062336426,-0.16320215,-0.019116212,-0.05522461,-0.026550293,0.0
6,0.017784178,0.062336426,-0.16320215,-0.013806152,-0.029736329,-0.032922365,0.0
7,0.12107549,0.02820166,0.011882126,-0.013806152,-0.029736329,-0.032922365,0.0
8,0.12107549,0.02820166,0.011882126,-0.033984374,-0.029736329,-0.026550293,0.0
9,0.11318119,-0.04262422,0.14464974,-0.033984374,-0.029736329,-0.026550293,0.0
10,0.11318119,-0.04262422,0.14464974,-0.035046387,-0.04885254,-0.028674318,0.0
11,0.011870638,-0.14734401,0.07140827,-0.035046387,-0.04885254,-0.028674318,0.0
12,0.011870638,-0.14734401,0.07140827,-0.023364259,-0.06690674,-0.043542482,0.0
13,-0.082227126,-0.1881877,-0.11330795,-0.023364259,-0.06690674,-0.043542482,0.0
14,-0.082227126,-0.1881877,-0.11330795,-0.011682129,-0.07752686,-0.004248047,0.0
15,-0.11093551,-0.1521615,-0.16542664,-0.011682129,-0.07752686,-0.004248047,0.0
16,-0.11093551,-0.1521615,-0.16542664,-0.010620117,-0.0722168,0.004248047,0.0
17,-0.11093551,-0.1521615,-0.16542664,-0.03079834,-0.07752686,0.009558106,0.0
18,-0.08882165,-0.06978828,-0.023051754,-0.03079834,-0.07752686,0.009558106,0.0
19,-0.10100117,0.012418896,0.10596046,-0.03079834,-0.07752686,0.009558106,0.0
20,-0.10100117,0.012418896,0.10596046,-0.03717041,-0.08283692,0.009558106,0.0
21,-0.14869645,0.039927796,0.07054718,-0.03717041,-0.08283692,0.009558106,0.0
22,-0.14869645,0.039927796,0.07054718,-0.019116212,-0.083898924,-0.0010620117,0.0
23,-0.15977748,0.05155894,0.038420163,-0.019116212,-0.083898924,-0.0010620117,0.0
24,-0.15977748,0.05155894,0.038420163,0.0010620117,-0.06478272,-0.0021240234,0.0
25,-0.10864474,0.07468221,0.09656865,0.0010620117,-0.06478272,-0.0021240234,0.0
26,-0.10864474,0.07468221,0.09656865,0.0021240234,-0.06265869,-0.004248047,0.0
27,-0.038636982,0.09205778,0.18169829,0.0021240234,-0.06265869,-0.004248047,0.0
28,-0.038636982,0.09205778,0.18169829,0.0053100586,-0.06903076,-0.009558106,0.0
29,-0.010182038,0.06870237,0.14649388,0.0053100586,-0.06903076,-0.009558106,0.0
30,-0.010182038,0.06870237,0.14649388,-0.0031860352,-0.06796875,-0.0031860352,0.0
31,-0.031302363,0.052312974,0.0075271353,-0.0031860352,-0.06796875,-0.0031860352,0.0
32,-0.031302363,0.052312974,0.0075271353,-0.027612304,-0.07965088,-0.0010620117,0.0
33,-0.049138576,0.0833787,-0.0689905,-0.027612304,-0.07965088,-0.0010620117,0.0
34,-0.049138576,0.0833787,-0.0689905,-0.038232423,-0.08920898,-0.009558106,0.0
35,-0.049138576,0.0833787,-0.0689905,-0.008496094,-0.09451904,-0.026550293,0.0
36,0.0071857274,0.08241341,-0.060807634,-0.008496094,-0.09451904,-0.026550293,0.0
37,0.10851957,0.003369695,-0.038697377,-0.008496094,-0.09451904,-0.026550293,0.0
38,0.10851957,0.003369695,-0.038697377,-0.011682129,-0.09133301,-0.035046387,0.0
39,0.11173022,-0.14271441,-0.05531093,-0.011682129,-0.09133301,-0.035046387,0.0
40,0.11173022,-0.14271441,-0.05531093,-0.08496094,-0.09239502,-0.014868164,0.0
